Property,Symbol,Key,Value,Range min,Range max,Scale,Unit,OGSTools
Porosity,\varphi,phi,0.15,0.145,0.175,linear,1,Parameter
Intrinsic permeability,K,K,1.00E-09,5.00E-10,5.00E-09,log,m²,Parameter
Residual saturation of the wetting phase,'S_\mathrm{w,r}',Swr,0.1,0.001,0.2,linear,1,'[{"medium id": 0, "name": "saturation", "valuetag": "residual_liquid_saturation", "propertytype":"SaturationVanGenuchten"},{"medium id": 0, "name": "relative_permeability_nonwetting_phase", "valuetag": "residual_liquid_saturation", "propertytype":"RelativePermeabilityNonWettingPhaseVanGenuchtenMualem"},{"medium id": 0, "name": "relative_permeability", "valuetag": "residual_liquid_saturation", "propertytype":"RelativePermeabilityVanGenuchten"}]'
Residual saturation of the non-wetting phase,'S_\mathrm{n,r}',Snr,0.001,0.0001,0.002,linear,1,'[{"medium id": 0, "name": "saturation", "valuetag": "residual_gas_saturation", "propertytype":"SaturationVanGenuchten"},{"medium id": 0, "name": "relative_permeability_nonwetting_phase", "valuetag": "residual_gas_saturation", "propertytype":"RelativePermeabilityNonWettingPhaseVanGenuchtenMualem"},{"medium id": 0, "name": "relative_permeability", "valuetag": "residual_gas_saturation", "propertytype":"RelativePermeabilityVanGenuchten"}]'
Dynamic viscosity of the wetting phase,\mu_\mathrm{n},mun,1.00E-03,0.8E-03,1.2E-03,log,Pa&middot;s,Parameter
Dynamic viscosity of the non-wetting pha,\mu_\mathrm{w},muw,2.00E-05,1.0E-05,3.0E-05,log,Pa&middot;s,Parameter
Van Genuchten model parameter: entry pressue,P_b,Pb,1e7,0.5e7,2e7,log,Pa,'[{"medium id": 0, "name": "saturation", "valuetag": "p_b", "propertytype":"SaturationVanGenuchten"}]'
Van Genuchten model parameter: exponent,m,exp, 0.45,0.4,0.5,log,1,'[{"medium id": 0, "name": "saturation", "valuetag": "exponent", "propertytype":"SaturationVanGenuchten"},{"medium id": 0, "name": "relative_permeability_nonwetting_phase", "valuetag": "exponent", "propertytype":"RelativePermeabilityNonWettingPhaseVanGenuchtenMualem"},{"medium id": 0, "name": "relative_permeability", "valuetag": "exponent", "propertytype":"RelativePermeabilityVanGenuchten"}]'
Initial saturation,S_\mathrm{w}(t=0),Si,0.9,0.95,0.85,linear,1,Parameter
Injection boundary saturation,S_\mathrm{w}(x=0),S0,0.4,0.3,0.5,linear,1,Parameter
